educationagencyname,averagetest,income50perc,ginico,percentmalesBA,percentfemalesBA,percentmalespov,percentfemalespov,percentnatam,percentasian,percenthispanic,percentblacks,percentwhites,totalenrollment
BONNY DOON UNION ELEMENTARY,-0.2009,149165.7,0.2951,0.3784,0.6012,0.0652,0.0761,0.0026,0.0206,0.0483,0.0022,0.9263,66.1667
ACTON,3.1129,148652.9,0.2706,0.7778,0.7042,0.0332,0.0421,0.0018,0.2701,0.0265,0.0089,0.6542,1487.667
MEDFIELD,2.6248,148396.5,0.2493,0.7436,0.6476,0.0151,0.0166,0.0005,0.0362,0.0139,0.0048,0.9212,1372
HINGHAM,2.7532,148076,0.2876,0.6294,0.5658,0.0334,0.0286,0,0.0144,0.0179,0.0114,0.9313,1972.667
ANDOVER,2.9349,147843.9,0.273,0.7159,0.6002,0.0335,0.0403,0.0014,0.1215,0.0384,0.0109,0.805,3000.333
MOORESTOWN TOWNSHIP,1.9664,147560.1,0.2677,0.6083,0.5182,0.0168,0.0317,0.0032,0.091,0.0387,0.0762,0.7799,1919.167
OTTAWA HILLS LOCAL,2.4346,147499.1,0.266,0.8068,0.648,0.022,0.0367,0.0007,0.0816,0.022,0.0323,0.8378,489.5
MILL VALLEY ELEMENTARY,1.8515,147385.5,0.2854,0.7131,0.6962,0.0268,0.047,0.0013,0.078,0.0592,0.0117,0.7801,1845.5
FALLS CHURCH CITY PBLC SCHS,1.4429,147284.8,0.281,0.7849,0.6431,0.0254,0.0682,0.0049,0.0896,0.1024,0.0427,0.7115,971.5
TENAFLY,3.0383,147221.3,0.3148,0.7296,0.6676,0.0274,0.0309,0.0002,0.2972,0.0397,0.0126,0.6426,1633
NEWTON,3.0741,147012.4,0.3054,0.7407,0.7166,0.0522,0.065,0.0011,0.1572,0.0678,0.054,0.6685,5506.667
DELAWARE TOWNSHIP,1.5772,146874.1,0.259,0.5322,0.4991,0.0041,0.007,0,0.0099,0.0505,0.0059,0.9018,306
HILLSDALE,1.7528,146322.7,0.2981,0.472,0.483,0.0195,0.0396,0,0.0599,0.0669,0.0095,0.8544,942.6667
SOMERSET HILLS REGIONAL,2.2948,146179.7,0.2787,0.6004,0.6081,0.0231,0.0246,0.0004,0.0336,0.1228,0.0164,0.8171,850
AMHERST SCHOOL DISTRICT,2.0031,145832.5,0.2578,0.659,0.5692,0.025,0.0314,0.0093,0.0334,0.0239,0.01,0.9229,1061.667
BOONTON TOWNSHIP,1.9683,145832.5,0.2802,0.5794,0.4428,0.0437,0.0249,0.001,0.0451,0.0423,0.0076,0.8884,351.3333
BROOKLINE,2.9544,145832.5,0.3301,0.8123,0.7817,0.1175,0.1428,0.0002,0.182,0.0875,0.0709,0.5874,2989
NORTHVILLE PUBLIC SCHOOLS,1.7459,144833.9,0.2524,0.6647,0.5239,0.0256,0.0291,0.0009,0.1601,0.02,0.0334,0.7752,3376.833
SOLANA BEACH ELEMENTARY,2.4603,144753.3,0.2736,0.7469,0.6869,0.0496,0.0592,0.0037,0.199,0.0998,0.0073,0.679,1707.5
PEARL RIVER UNION FREE SCHOOL DISTRICT,1.6544,144568.2,0.2477,0.4426,0.4189,0.0355,0.0236,0.0008,0.0496,0.0536,0.01,0.8796,1237.833
GARRISON UNION FREE SCHOOL DISTRICT,1.724,144499.2,0.3021,0.5108,0.5819,0.1801,0.1669,0.0099,0.026,0.0326,0.0206,0.9038,175.3333
GARNET VALLEY SD,1.9871,144470.4,0.2874,0.4762,0.4683,0.0349,0.0374,0.0006,0.0959,0.0139,0.0197,0.8674,2336.333
HENDRICK HUDSON CENTRAL SCHOOL DISTRICT,0.8463,144374.2,0.3153,0.4358,0.4865,0.0349,0.0511,0,0.0506,0.1629,0.0485,0.7175,1196
OAK PARK UNIFIED,1.6062,144206.5,0.2789,0.7082,0.5562,0.0239,0.0345,0.0041,0.1545,0.0545,0.0158,0.7534,1887.167
WEST ESSEX REGIONAL,1.9056,144090.2,0.3291,0.591,0.5002,0.011,0.0333,0,0.0434,0.0602,0.0102,0.8793,570.8333
MONTVALE,2.0624,144078.2,0.2997,0.5245,0.6106,0.0262,0.0795,0,0.1241,0.0529,0.0095,0.813,723
MAPLE DALE-INDIAN HILL SCHOOL DISTRICT,1.6181,143749.3,0.3417,0.7562,0.7445,0.039,0.0326,0.0063,0.0827,0.0445,0.1525,0.7022,319.5
LOVEJOY ISD,2.6336,143436.8,0.2709,0.6372,0.4807,0.0179,0.0231,0.0057,0.0463,0.069,0.0198,0.8354,1600.667
MOUNTAINSIDE,2.3195,143381.6,0.204,0.6076,0.496,0.0235,0.0495,0.0007,0.0496,0.0426,0.0055,0.8962,516.1667
LADUE,2.2786,143378.9,0.3058,0.745,0.6653,0.031,0.0491,0.0031,0.1151,0.0406,0.1582,0.6593,1767.5
CROTON-HARMON UNION FREE SCHOOL DISTRICT,1.7086,143280.5,0.2835,0.5979,0.6186,0.0423,0.044,0.0004,0.0439,0.1154,0.0375,0.799,805
SIMSBURY SCHOOL DISTRICT,2.4586,143280.5,0.2631,0.7015,0.5812,0.0173,0.0238,0.0009,0.0559,0.0418,0.0441,0.8521,2231.333
MADISON SCHOOL DISTRICT,2.3092,143136.5,0.2717,0.6849,0.5905,0.005,0.008,0.0021,0.0369,0.0184,0.0055,0.9251,1659
COLD SPRING ELEMENTARY,2.3452,142677.9,0.1811,0.7787,0.6142,0.0467,0.0373,0,0.0824,0.0398,0.0031,0.8606,103.1667
RIVER DELL REGIONAL HIGH,2.3695,142205.2,0.2679,0.5861,0.5257,0.0301,0.0352,0,0.2072,0.0536,0.0116,0.7204,559.1667
NORTH SALEM CENTRAL SCHOOL DISTRICT,1.5754,142124.3,0.2658,0.4944,0.5174,0.0146,0.024,0.0005,0.0228,0.0714,0.0042,0.8856,600
READINGTON TOWNSHIP,2.2528,141963.6,0.3057,0.5214,0.4853,0.0135,0.0251,0.0014,0.0439,0.0372,0.017,0.894,1419.167
SHARON,2.9135,141926.4,0.2711,0.7063,0.631,0.0472,0.0413,0.0009,0.1797,0.038,0.0646,0.6861,1559.333
GROTON-DUNSTABLE,2.4569,141681.2,0.2604,0.6582,0.5979,0.0185,0.037,0.0006,0.0379,0.0102,0.0048,0.941,1301.833
EDINA PUBLIC SCHOOL DISTRICT,2.4451,141677.9,0.2904,0.7244,0.6164,0.0278,0.0402,0.0019,0.0799,0.0333,0.0521,0.82,3995.833
HARRINGTON PARK,2.358,141499.3,0.2098,0.7142,0.5176,0.0108,0.0098,0.0031,0.1402,0.0213,0.0058,0.7852,486.3333
WESTERN SPRINGS SD 101,2.8972,141070.8,0.2671,0.7524,0.6893,0.0301,0.019,0.0012,0.0107,0.013,0.001,0.9672,1028.333
SCOTCH PLAINS-FANWOOD,2.2368,141014.2,0.2696,0.5788,0.5499,0.0188,0.0367,0.0008,0.0845,0.0634,0.0966,0.7382,2600.833
EAST GREENWICH,2.0336,140624.4,0.2791,0.6311,0.5521,0.0312,0.056,0.004,0.0526,0.0381,0.0082,0.874,1123
RADNOR TOWNSHIP SD,2.8794,140115.7,0.3148,0.7655,0.6686,0.0569,0.0772,0.0002,0.15,0.0273,0.042,0.7767,1687.833
LAGUNA BEACH UNIFIED,1.2676,139999.4,0.3219,0.6792,0.5401,0.068,0.0628,0.0057,0.0383,0.0833,0.0136,0.8301,1398.833
WESTBOROUGH,2.7916,139772.1,0.2803,0.685,0.5838,0.0284,0.0451,0.0008,0.2035,0.0464,0.0156,0.7077,1628.833
NORTH SHORE CENTRAL SCHOOL DISTRICT,1.8552,139699.4,0.3217,0.5822,0.5445,0.0421,0.0457,0.0037,0.0466,0.0581,0.0095,0.8728,1371.833
OAKDALE,0.8224,139642.3,0.2832,0.7678,0.6969,0.0247,0.044,0.0146,0.0432,0.0893,0.0453,0.8029,358.5
HALF HOLLOW HILLS CENTRAL SCHOOL DISTRICT,1.7692,139563.6,0.2889,0.5339,0.4991,0.0244,0.0384,0.0025,0.1167,0.0643,0.1183,0.6789,4640.333
MARBLEHEAD,2.3383,139534.3,0.2972,0.6846,0.673,0.044,0.0512,0.0004,0.0149,0.0365,0.0303,0.9075,1696.667
BROOKFIELD SCHOOL DISTRICT,1.8373,139253.8,0.2407,0.5862,0.5157,0.027,0.0307,0.0031,0.0594,0.0543,0.0105,0.8721,1283.667
KINNELON BOROUGH,2.4116,139112.3,0.2734,0.6495,0.5802,0.0103,0.0193,0.0014,0.0394,0.0305,0.011,0.9069,998.8333
EMMONS SD 33,0.995,138635.8,0.1948,0.3681,0.357,0.0148,0.033,0.0056,0.0152,0.0453,0.0232,0.869,241.8333
SWALLOW SCHOOL DISTRICT,2.343,138499.5,0.2947,0.6131,0.5734,0.0131,0.0261,0.0012,0.0251,0.0106,0.0067,0.9537,414
THREE VILLAGE CENTRAL SCHOOL DISTRICT,1.562,138495,0.2719,0.5836,0.5643,0.0214,0.0211,0.0016,0.0834,0.0322,0.0143,0.8664,3447.833
PARAMUS,1.7884,138463.8,0.2837,0.509,0.4223,0.0262,0.0293,0.0006,0.2891,0.0759,0.0142,0.6176,1873.333
NORFOLK,2.7504,138461,0.2308,0.3676,0.5471,0.0333,0.0431,0.0038,0.014,0.0117,0.0072,0.9416,562.3333
RYE NECK UNION FREE SCHOOL DISTRICT,2.284,138157.4,0.2911,0.5389,0.5975,0.0066,0.0219,0,0.092,0.1439,0.036,0.694,716.1667
NEWBURYPORT,1.7168,137846.7,0.2921,0.5621,0.4936,0.0492,0.0656,0.0004,0.0174,0.0253,0.0083,0.9287,1216.833
WESTFORD,3.4131,137840.4,0.2565,0.6909,0.5816,0.0099,0.0129,0.0016,0.1874,0.0105,0.007,0.7783,2481
NORTH ANDOVER,1.88,137828.4,0.3068,0.6195,0.4989,0.0352,0.0391,0.0021,0.0696,0.0645,0.0194,0.8261,2245.167
HAMPTON FALLS SCHOOL DISTRICT,2.5147,137499.5,0.3397,0.4962,0.5,0.0442,0.0632,0.0088,0.0123,0.0159,0.0009,0.9303,189.1667
MANASQUAN,1.6369,137499.5,0.3229,0.5017,0.407,0.0328,0.0673,0,0.0169,0.052,0.0075,0.9236,464.3333
NORTH MERRICK UNION FREE SCHOOL DISTRICT,1.9137,137499.5,0.2658,0.439,0.4004,0.0058,0.0247,0.0011,0.0537,0.0708,0.0172,0.8562,763.3333
BELLMORE UNION FREE SCHOOL DISTRICT,1.7008,136956,0.263,0.4409,0.4746,0.0135,0.013,0.0013,0.0484,0.0519,0.0107,0.8768,651.8333
HARBORFIELDS CENTRAL SCHOOL DISTRICT,1.7283,136792,0.3056,0.5703,0.46,0.0368,0.0459,0.001,0.0383,0.0557,0.0443,0.8494,1701.667
CRANFORD TOWNSHIP,1.9694,136764.2,0.2777,0.5572,0.4847,0.0293,0.0371,0.0001,0.0336,0.0546,0.024,0.8855,1757.833
HANOVER TOWNSHIP,1.803,136718.3,0.3145,0.5244,0.435,0.0247,0.0191,0,0.1362,0.0429,0.0111,0.8033,1048.5
HOLLISTON,2.491,136718.3,0.2587,0.6072,0.5653,0.0184,0.0172,0.0006,0.0335,0.0236,0.0071,0.9124,1306.333
BAINBRIDGE ISLAND SCHOOL DISTRICT,1.941,136538,0.3076,0.6649,0.6056,0.0422,0.0523,0.0096,0.0497,0.0505,0.0075,0.8272,1706
ARGYLE ISD,1.4658,136499.5,0.2824,0.578,0.4484,0.0223,0.0446,0.0053,0.0093,0.0877,0.0025,0.8888,858.8333
FAIRFIELD TOWNSHIP,1.5006,136457.9,0.2669,0.3974,0.3472,0.0133,0.0405,0.0063,0.025,0.0565,0.0021,0.9092,393.5
BEDFORD SCHOOL DISTRICT,2.4962,136289.9,0.2971,0.6405,0.5247,0.0183,0.0493,0.0014,0.0389,0.0118,0.0093,0.913,2203.5
UPPER FREEHOLD REGIONAL,1.5297,136171.4,0.2679,0.5426,0.4778,0.0197,0.0244,0.0002,0.0393,0.019,0.0287,0.9118,782.1667
MORRIS PLAINS,2.2403,136110.7,0.2447,0.4085,0.4622,0.1239,0.0659,0,0.0392,0.0483,0.0108,0.7284,403.6667
GLENVIEW CCSD 34,1.9538,135908.7,0.3204,0.6581,0.5689,0.0657,0.0588,0.0004,0.1357,0.1213,0.0148,0.7004,3145.333
PLEASANTON UNIFIED,1.7665,135813.5,0.2978,0.5835,0.5185,0.0336,0.0369,0.0045,0.3288,0.0905,0.0208,0.525,6824.833
REVERE LOCAL,1.8683,135808.4,0.2981,0.5785,0.501,0.0212,0.015,0,0.0489,0.0116,0.0146,0.9023,1288.667
PLAINVIEW-OLD BETHPAGE CENTRAL SCHOOL DISTRICT,1.8313,135655.3,0.2824,0.6073,0.5414,0.026,0.0279,0.0007,0.1419,0.0311,0.0026,0.82,2320.833
SPRECKELS UNION ELEMENTARY,0.175,135416.3,0.2902,0.3911,0.3761,0.0492,0.0328,0.0028,0.0574,0.2979,0.0071,0.5773,666.6667
VERONA,1.7506,135416.3,0.27,0.5279,0.4934,0.0252,0.0204,0.0029,0.047,0.0691,0.0218,0.8456,1006.5
SOUTH HARRISON TOWNSHIP,0.6495,135356.7,0.2925,0.3375,0.4085,0.1672,0.0324,0,0.0191,0.019,0.0522,0.8955,200.3333
WASHINGTON TOWNSHIP,2.0369,135050.6,0.2422,0.5926,0.4821,0.01,0.0082,0.0002,0.0364,0.0447,0.0202,0.8898,1837.667
RIVER VALE,2.1657,134999.6,0.2905,0.6342,0.5281,0.0153,0.0262,0.0002,0.1076,0.0343,0.0051,0.8516,927.5
LIBERTYVILLE SD 70,2.1754,134926.1,0.3091,0.6777,0.5564,0.0342,0.0514,0.004,0.0554,0.0393,0.0129,0.8477,1816.167
PORT JEFFERSON UNION FREE SCHOOL DISTRICT,1.7499,134721.8,0.3415,0.6812,0.5733,0.1279,0.0712,0.0018,0.0495,0.0341,0.0067,0.8916,574.6667
BERLIN,1.485,134687.1,0.251,0.4008,0.3191,0.0177,0.0182,0,0.0079,0.0141,0.0086,0.9399,118.5
SHREWSBURY BOROUGH,2.248,134374.6,0.3182,0.5517,0.5034,0,0.0212,0,0.0328,0.0277,0.0061,0.9206,326.3333
EAST HANOVER TOWNSHIP,1.4276,134166.3,0.2826,0.4348,0.3608,0.0332,0.0184,0,0.1021,0.0401,0.0134,0.8418,748.8333
BELMONT-REDWOOD SHORES ELEMENTARY,1.3453,134090.5,0.3001,0.6286,0.5626,0.0327,0.0451,0.0013,0.2695,0.104,0.0247,0.5391,2047.333
LOUDOUN CO PBLC SCHS,0.8859,134058.2,0.282,0.602,0.5432,0.0297,0.0333,0.0042,0.1563,0.1397,0.0723,0.5853,29935.67
MONMOUTH BEACH,2.1693,133653.5,0.2602,0.5879,0.5399,0,0.0491,0,0.0086,0.0031,0,0.9868,216.3333
HADDONFIELD BOROUGH,2.723,133445.6,0.3075,0.7672,0.6067,0.0433,0.0548,0.0003,0.0422,0.0194,0.0141,0.9201,1110.833
AVON SCHOOL DISTRICT,2.5961,133214,0.3118,0.6775,0.5688,0.0508,0.0521,0.0014,0.1004,0.051,0.0308,0.7954,1712
EUREKA UNION,1.0178,133172.8,0.2779,0.5334,0.4801,0.0383,0.04,0.0049,0.096,0.0809,0.0122,0.7434,2481.5
HOLLIS/BROOKLINE COOP SCHOOL DISTRICT,1.5269,133020.5,0.2674,0.5871,0.563,0.0168,0.0141,0.0008,0.0358,0.0098,0.0058,0.9465,432.5
BIRMINGHAM CITY SCHOOL DISTRICT,2.063,133005.3,0.3137,0.7603,0.6644,0.0314,0.0406,0.001,0.032,0.0175,0.1157,0.8096,3823
BLOOMFIELD HILLS SCHOOL DISTRICT,2.0233,132932.4,0.3138,0.7646,0.6171,0.0326,0.0436,0.0004,0.0975,0.0185,0.1099,0.7395,2446.167
BARRINGTON CUSD 220,2.0966,132666.4,0.3199,0.6559,0.5439,0.0463,0.0535,0.0006,0.1092,0.1412,0.0161,0.6997,4190.667
MEDFORD TOWNSHIP,2.0725,132618.7,0.2475,0.5728,0.5159,0.0179,0.0197,0.0004,0.0267,0.0213,0.0169,0.922,2049
READING,2.3125,132529.8,0.2628,0.5971,0.5097,0.0136,0.0208,0.001,0.0421,0.0106,0.016,0.9189,2100.333
MILLBURN CCSD 24,1.6385,132455.1,0.2525,0.541,0.5205,0.0172,0.0179,0.0012,0.078,0.0585,0.0253,0.7915,1106.833
NORTH SHORE SD 112,1.6934,132430.3,0.3314,0.6523,0.5851,0.0451,0.0616,0.0019,0.0201,0.196,0.0215,0.7442,2949.833
WHITEFISH BAY SCHOOL DISTRICT,2.5033,132395.5,0.277,0.8373,0.7226,0.0176,0.0297,0.0011,0.0644,0.0351,0.103,0.7813,1271.833
MOUNT PLEASANT CENTRAL SCHOOL DISTRICT,1.664,132380.7,0.2938,0.3821,0.3888,0.0172,0.0312,0.0002,0.0402,0.0692,0.0042,0.883,948.6667
HUDSON CITY,2.3063,132302.3,0.2949,0.7365,0.5879,0.0284,0.0528,0.0005,0.0493,0.0109,0.0113,0.8986,2188.333
MINNETONKA PUBLIC SCHOOL DISTRICT,2.5421,132216.2,0.2938,0.6168,0.5285,0.0181,0.0273,0.0036,0.0482,0.0287,0.0242,0.8889,3925.833
MEDWAY,2.2855,132133.9,0.2492,0.525,0.4627,0.0281,0.0271,0.0026,0.0237,0.0183,0.0115,0.9344,1233.667
HARRISON TOWNSHIP,1.4718,131854.6,0.3089,0.43,0.4588,0.0552,0.0548,0.0083,0.0462,0.0194,0.0618,0.847,863.6667
YORKTOWN CENTRAL SCHOOL DISTRICT,1.615,131666.4,0.2597,0.5124,0.5194,0.0084,0.0124,0.0006,0.0624,0.0815,0.0192,0.8178,1739
BELLMORE-MERRICK CENTRAL HIGH SCHOOL DISTRICT,1.3303,131653,0.2632,0.4563,0.4238,0.0145,0.0243,0.0019,0.0418,0.0422,0.0156,0.8972,1943
LITTLETON,2.1152,131249.8,0.2235,0.5355,0.4901,0.0321,0.0383,0.0013,0.0235,0.008,0.0194,0.9312,754.8333
COUNCIL ROCK SD,1.6171,131179.5,0.2873,0.5663,0.4853,0.0227,0.0347,0.001,0.0689,0.0161,0.0124,0.9015,5528.833
HOLLIS SCHOOL DISTRICT,2.204,130262.9,0.2273,0.6499,0.6325,0.0021,0.0093,0,0.0351,0.0077,0.0085,0.9358,412.1667
GEORGETOWN,1.6586,130232.3,0.2483,0.4785,0.457,0.018,0.0131,0,0.0081,0.0108,0.0033,0.9621,764.3333
HARRISON CENTRAL SCHOOL DISTRICT,1.533,130232.3,0.3427,0.5613,0.471,0.0331,0.0452,0.0001,0.1041,0.1395,0.0137,0.7372,1673.833
NEWTOWN SCHOOL DISTRICT,2.3246,130076.7,0.2946,0.5014,0.5048,0.029,0.0364,0.0004,0.0345,0.0399,0.0144,0.904,2529.667
FLEMINGTON-RARITAN REGION,2.0726,129999.8,0.3175,0.5326,0.4717,0.0416,0.0896,0.0005,0.0689,0.0749,0.0266,0.8256,2390.167
ROCKVILLE CENTRE UNION FREE SCHOOL DISTRICT,1.6363,129926.3,0.3395,0.5939,0.552,0.0401,0.0591,0,0.031,0.0996,0.0584,0.8009,1638.5
GLASTONBURY SCHOOL DISTRICT,1.97,129797.8,0.308,0.5946,0.5552,0.0309,0.0351,0.0015,0.094,0.0563,0.0306,0.7953,3070.833
WAYNE TOWNSHIP,1.5394,129615.2,0.2794,0.4857,0.4213,0.025,0.0457,0.0003,0.0866,0.0699,0.0129,0.825,3929
FRIENDSWOOD ISD,1.7582,129579,0.2736,0.5354,0.4222,0.0252,0.0286,0.0021,0.0589,0.1347,0.0204,0.7708,2818.667
PINE-RICHLAND SD,1.7715,129456.3,0.2881,0.6051,0.5078,0.0358,0.0309,0.0017,0.043,0.0146,0.0093,0.9296,2170.167
FRANKFORT CCSD 157C,1.2523,129053.9,0.273,0.5188,0.4445,0.0313,0.0252,0.0002,0.0228,0.0568,0.0469,0.8527,1657.167
METUCHEN,1.8632,128749.9,0.2998,0.602,0.524,0.0194,0.0302,0.0002,0.1903,0.0877,0.0532,0.6686,957.3333
CAVE CREEK UNIFIED DISTRICT,1.1934,128529.3,0.3028,0.6382,0.5187,0.0308,0.0367,0.0024,0.0262,0.0772,0.0112,0.8777,3044.333
NASHOBA,2.3277,128515.5,0.3115,0.497,0.5563,0.0447,0.0568,0.0014,0.0298,0.0302,0.0085,0.9001,1611.333
ZIONSVILLE COMMUNITY SCHOOLS,2.1251,128389.7,0.3007,0.6702,0.5802,0.0178,0.0355,0.005,0.0358,0.0292,0.0132,0.887,2698.833
SHERMAN SCHOOL DISTRICT,1.5337,128333.2,0.2894,0.5193,0.5809,0.0147,0.0221,0.0021,0.0075,0.009,0.0076,0.9497,282.1667
MEQUON-THIENSVILLE SCHOOL DISTRICT,2.3331,128313.8,0.2884,0.6447,0.5665,0.0287,0.0327,0.0018,0.0606,0.033,0.0497,0.8408,1569.833
CHESHIRE SCHOOL DISTRICT,1.9667,127954.4,0.2547,0.5016,0.5191,0.0203,0.0279,0.0018,0.0911,0.0359,0.0204,0.8491,2233.833
ROSELAND,1.6396,127941.1,0.2907,0.6218,0.558,0.0144,0.0236,0,0.0783,0.0719,0.0419,0.8008,282.6667
CLARKSTOWN CENTRAL SCHOOL DISTRICT,1.2138,127916.5,0.2912,0.5396,0.5194,0.0266,0.0363,0.0017,0.1326,0.1078,0.0334,0.7172,4119.5
NORTHBROOK SD 28,1.9507,127777.7,0.3679,0.6932,0.608,0.0434,0.034,0.0004,0.0796,0.0281,0.0067,0.8541,1174
WAYZATA PUBLIC SCHOOL DISTRICT,2.5458,127708.2,0.3265,0.625,0.5327,0.0337,0.0405,0.0021,0.1176,0.0337,0.0796,0.7516,5130.5
TRUMBULL SCHOOL DISTRICT,2.1276,127688.1,0.2719,0.5439,0.4362,0.0225,0.0275,0.0028,0.0696,0.0648,0.0388,0.8233,3139
WINDHAM SCHOOL DISTRICT,1.7142,127631.5,0.2587,0.4887,0.4828,0.0021,0.0096,0.0031,0.0364,0.0132,0.0037,0.9306,1298
BYRAM TOWNSHIP,1.4119,127624.9,0.2817,0.4365,0.4316,0.0115,0.0219,0.0002,0.0303,0.0279,0.0158,0.9255,702.1667
LARKSPUR,1.5546,127499.9,0.2978,0.6559,0.6197,0.0147,0.0303,0.0011,0.0593,0.1232,0.0063,0.7251,883.8333
MENDON-UPTON,1.8059,127499.9,0.2765,0.4693,0.481,0.0284,0.0472,0,0.0153,0.0206,0.0044,0.9436,1295
NORTHBOROUGH,1.9769,127407.3,0.2749,0.6314,0.5382,0.0405,0.0466,0.0027,0.0858,0.0356,0.0082,0.8361,1275.333
WASHINGTON TOWNSHIP,1.8096,127361,0.3115,0.5551,0.5105,0.0292,0.0326,0.0019,0.1739,0.0351,0.028,0.7557,1327.333
GENEVA CUSD 304,1.6248,127173.8,0.2944,0.5903,0.5678,0.0257,0.0213,0.0008,0.0281,0.0642,0.0033,0.8713,2777
COMMACK UNION FREE SCHOOL DISTRICT,1.3533,127120.4,0.2671,0.4901,0.4286,0.0163,0.0182,0.0014,0.0647,0.0381,0.0107,0.8764,3513.833
PITTSFORD CENTRAL SCHOOL DISTRICT,2.3706,127106.7,0.2993,0.7505,0.6344,0.0359,0.0374,0.0003,0.0991,0.0324,0.0286,0.8232,2789
DEERFIELD SCHOOL DISTRICT,1.2505,127083.3,0.2588,0.2841,0.3303,0.0216,0.0333,0.0039,0.001,0.0143,0.0049,0.9616,306.6667
LEWIS-PALMER CONSOLIDATED SCHOOL DISTRICT NO. 38 IN THE CO,2.1977,126874.9,0.2836,0.6577,0.5627,0.0312,0.0283,0.0094,0.0312,0.0852,0.0123,0.8318,2695.667
BLUE VALLEY,2.0798,126749.9,0.287,0.7374,0.6034,0.0195,0.0315,0.003,0.0947,0.042,0.0315,0.7993,10091.67
WANTAGH UNION FREE SCHOOL DISTRICT,1.6711,126724.1,0.2555,0.392,0.3932,0.0151,0.0248,0,0.018,0.0323,0.001,0.9439,1649.5
NORTH READING,2.1659,126562.4,0.2722,0.4562,0.4255,0.0401,0.0513,0,0.0283,0.0213,0.0044,0.9271,1319
NYACK UNION FREE SCHOOL DISTRICT,0.6695,126535,0.3078,0.4887,0.5295,0.0504,0.0612,0.0021,0.0921,0.1555,0.2066,0.5292,1343.667
EASTPORT-SOUTH MANOR CSD,0.4496,126428.5,0.2812,0.3428,0.3328,0.0322,0.0672,0.001,0.0111,0.0408,0.019,0.9273,1773.833
MONROE TOWNSHIP,1.7516,126149.4,0.2695,0.4378,0.3339,0.0262,0.0495,0.0009,0.2371,0.045,0.0401,0.6734,2698.333
SCOTTS VALLEY UNIFIED,0.9415,126136.3,0.3095,0.5292,0.4698,0.0551,0.0394,0.0027,0.0348,0.1034,0.0047,0.7783,1193.833
BRIDGEWATER-RARITAN REGIO,2.2113,126051.4,0.3051,0.5567,0.4688,0.0327,0.038,0.0003,0.2234,0.083,0.0281,0.6548,4215.833
MONTCLAIR,1.7484,125905.8,0.3672,0.6692,0.6528,0.069,0.0701,0.0021,0.0546,0.0862,0.3243,0.5085,3060.167
MAHOPAC CENTRAL SCHOOL DISTRICT,0.722,125857.8,0.2993,0.4,0.4003,0.0248,0.0225,0.0003,0.0214,0.1007,0.016,0.8428,2292.167
BALLARD ELEMENTARY,1.4412,125625,0.3417,0.5203,0.4403,0.0273,0.0258,0.0103,0.0053,0.0555,0.0098,0.8957,69
MILLSTONE TOWNSHIP,2.0518,125431,0.2867,0.465,0.4221,0,0.0062,0.0017,0.0431,0.047,0.0284,0.8777,906.8333
UPPER ARLINGTON CITY,1.8555,125412.1,0.3148,0.7426,0.6845,0.0517,0.0541,0.0011,0.061,0.0102,0.0074,0.8903,2670.333
NOVI COMMUNITY SCHOOL DISTRICT,2.2383,125367.6,0.2928,0.6486,0.5251,0.0257,0.0412,0.0008,0.3132,0.0248,0.0856,0.5692,2939.333
FOX POINT J2 SCHOOL DISTRICT,2.1129,125333.3,0.3073,0.7514,0.6214,0.0159,0.0467,0.0049,0.0561,0.0243,0.1227,0.7883,584.3333
WALL TOWNSHIP,1.6011,125208.3,0.3221,0.4008,0.4114,0.0441,0.0374,0.0003,0.0136,0.038,0.023,0.9138,1915
LOS ALAMOS PUBLIC SCHOOLS,1.6787,125200,0.3064,0.6839,0.5964,0.0234,0.0251,0.0132,0.0571,0.2548,0.0081,0.662,1577.5
WALLINGFORD-SWARTHMORE SD,2.4227,125113.6,0.3133,0.7003,0.5795,0.044,0.0545,0,0.0769,0.0156,0.0869,0.7993,1579
COLUMBIA SCHOOL DISTRICT,0.9593,124999,0.2566,0.3568,0.4142,0.0214,0.0417,0.0004,0.0071,0.0384,0.0069,0.9388,355
DUXBURY,2.3502,124999,0.289,0.7499,0.6246,0.0251,0.0269,0.0006,0.0104,0.0076,0.005,0.9638,1588.333
LENOX,1.6977,124999,0.2582,0.4601,0.4918,0.0845,0.0689,0.007,0.0428,0.0331,0.0037,0.8969,355.6667
MATTITUCK-CUTCHOGUE UNION FREE SCHOOL DISTRICT,0.7993,124999,0.2732,0.3724,0.3983,0.0212,0.0366,0,0.0142,0.0593,0.0275,0.8974,652.6667
WALDWICK,2.0312,124999,0.3322,0.3864,0.4508,0.033,0.0363,0,0.0537,0.0956,0.0218,0.8252,720
WEST AMWELL TOWNSHIP,1.8587,124999,0.264,0.4073,0.5112,0.0525,0.0359,0,0.0156,0.0233,0.033,0.9096,146
HERRICKS UNION FREE SCHOOL DISTRICT,2.1745,124925.5,0.276,0.6045,0.4972,0.0131,0.0228,0.0011,0.5296,0.0568,0.0049,0.405,1837.167
LUMBERTON TOWNSHIP,1.4981,124912.8,0.2959,0.3436,0.3777,0.056,0.0431,0.0003,0.0449,0.0552,0.2207,0.6614,1087.167
CHELMSFORD,2.4534,124805.2,0.2714,0.5187,0.4701,0.0365,0.0405,0.0016,0.0958,0.0275,0.0294,0.8291,2474.5
